Start Time,End Time,Total Distance (mi),Trip Time,Idle Time,Top Speed (mph),Average Speed (mph),Average mpg,Fuel Used (gal)
1/2/2020 9:29,1/2/2020 9:46,11.1628275,0:16:38,0:01:26,69,40,22,0.50674987
1/2/2020 10:52,1/2/2020 11:08,10.8198395,0:15:36,0:00:59,72,42,30,0.35544434
1/2/2020 11:18,1/2/2020 11:20,0.053898774,0:01:39,0:00:14,19,2,46,0.00117849
1/3/2020 11:28,1/3/2020 11:58,19.30687,0:30:10,0:05:10,70,38,26,0.7424692
1/3/2020 12:57,1/3/2020 13:01,0.30017924,0:03:38,0:01:06,21,5,13,0.02269367
1/3/2020 13:30,1/3/2020 13:43,1.6246734,0:13:16,0:05:08,38,7,12,0.1330317
1/3/2020 14:26,1/3/2020 15:01,17.914833,0:34:35,0:06:13,73,31,29,0.60770947
1/3/2020 15:12,1/3/2020 15:19,1.2157576,0:06:37,0:02:04,37,11,19,0.06351734
1/3/2020 15:35,1/3/2020 15:40,1.2185037,0:05:14,0:00:41,37,14,28,0.04406983
1/3/2020 16:50,1/3/2020 17:01,2.8322098,0:10:59,0:01:33,42,15,25,0.11491987
1/3/2020 17:22,1/3/2020 17:35,3.3167033,0:12:54,0:03:05,44,15,22,0.14954092
1/3/2020 17:54,1/3/2020 18:00,0.66174304,0:05:26,0:00:33,24,7,15,0.04275813
1/5/2020 10:18,1/5/2020 10:26,1.7160081,0:07:47,0:01:27,42,13,13,0.13476482
1/5/2020 10:30,1/5/2020 10:34,0.12062196,0:03:02,0:00:22,11,2,7,0.01773588
1/5/2020 10:47,1/5/2020 12:42,122.66879,1:55:17,0:03:24,80,64,30,4.027752
1/5/2020 14:30,1/5/2020 14:32,0.07343054,0:02:02,0:00:28,11,2,9,0.008544
1/5/2020 14:33,1/5/2020 16:31,124.45506,1:57:43,0:02:48,83,63,28,4.493577
1/5/2020 19:36,1/5/2020 19:43,1.5726473,0:06:10,0:00:17,32,15,23,0.06794105
1/5/2020 20:15,1/5/2020 20:23,1.6104733,0:07:51,0:02:20,38,12,14,0.1137981
1/6/2020 7:04,1/6/2020 7:23,11.372802,0:19:03,0:02:38,70,36,27,0.42331633
1/6/2020 14:37,1/6/2020 14:59,17.354494,0:21:39,0:01:18,75,48,31,0.5679276
1/6/2020 15:55,1/6/2020 16:12,10.808376,0:16:20,0:01:39,68,40,33,0.33131003
1/6/2020 16:13,1/6/2020 16:16,0.0714059,0:03:16,0:01:10,15,1,9,0.00791188
1/6/2020 18:43,1/6/2020 18:52,1.4853982,0:08:06,0:02:15,35,11,16,0.09019122
1/6/2020 19:52,1/6/2020 19:59,1.4561299,0:06:30,0:00:45,34,13,16,0.09057473
1/7/2020 7:14,1/7/2020 7:35,12.065075,0:21:00,0:03:02,67,34,23,0.5183126
1/7/2020 7:39,1/7/2020 7:47,2.5941799,0:08:37,0:01:25,48,18,28,0.09330031
1/7/2020 16:44,1/7/2020 16:49,0.85747325,0:05:41,0:01:53,41,9,13,0.06732591
1/7/2020 16:52,1/7/2020 17:13,10.485344,0:20:59,0:04:01,71,30,30,0.35504764
1/8/2020 7:21,1/8/2020 7:37,11.092102,0:16:47,0:01:25,71,40,26,0.4315129
1/8/2020 15:23,1/8/2020 15:42,11.24307,0:19:34,0:03:10,71,34,25,0.44802794
1/9/2020 7:18,1/9/2020 7:37,11.352997,0:19:15,0:03:59,67,35,23,0.48493242
1/9/2020 15:46,1/9/2020 15:59,7.2753935,0:13:51,0:01:06,58,32,22,0.32726863
1/9/2020 16:45,1/9/2020 17:12,22.221916,0:27:15,0:01:26,75,49,30,0.7327192
1/9/2020 17:28,1/9/2020 17:50,6.255356,0:22:32,0:04:01,42,17,22,0.2893681
1/9/2020 18:41,1/9/2020 19:00,7.2409387,0:18:49,0:02:21,66,23,24,0.30387664
1/10/2020 7:08,1/10/2020 7:25,11.373927,0:16:37,0:01:20,68,41,24,0.46924457
1/10/2020 15:03,1/10/2020 15:27,11.254801,0:24:17,0:07:29,73,28,26,0.43493313
